# E (cm^-1)   g    stage   level
0.0000        2        0    1    
82256.4505    8        0    2    
97489.1266    18       0    3    
102820.5632   32       0    4    
105288.2567   50       0    5    
106628.7322   72       0    6    
107436.9966   98       0    7    
107961.5913   128      0    8    
108321.2517   162      0    9    
108578.5147   200      0    10   
108768.8602   242      0    11   
108913.6336   288      0    12   
109026.3013   338      0    13   
109115.6997   392      0    14   
109187.8217   450      0    15   
109246.8484   512      0    16   
109295.7682   578      0    17   
109336.7635   648      0    18   
109371.4578   722      0    19   
109401.0792   800      0    20   
109426.5706   882      0    21   
109448.6656   968      0    22   
109467.9417   1058     0    23   
109484.8589   1152     0    24   
109499.7869   1250     0    25   
109513.0259   1352     0    26   
109524.8212   1458     0    27   
109535.3755   1568     0    28   
109544.8568   1682     0    29   
109553.4060   1800     0    30   
109561.1412   1922     0    31   
109568.1626   2048     0    32   
109574.5555   2178     0    33   
109580.3926   2312     0    34   
109585.7365   2450     0    35   
109590.6414   2592     0    36   
109595.1540   2738     0    37   
109599.3150   2888     0    38   
109603.1600   3042     0    39   
109606.7203   3200     0    40   
109610.0233   3362     0    41   
109613.0932   3528     0    42   
109615.9514   3698     0    43   
109618.6169   3872     0    44   
109621.1068   4050     0    45   
109623.4360   4232     0    46   
109625.6181   4418     0    47   
109627.6653   4608     0    48   
109629.5884   4802     0    49   
109631.3973   5000     0    50   
109633.1008   5202     0    51   
109634.7070   5408     0    52   
109636.2231   5618     0    53   
109637.6558   5832     0    54   
109639.0111   6050     0    55   
109640.2944   6272     0    56   
109641.5108   6498     0    57   
109642.6647   6728     0    58   
109643.7605   6962     0    59   
109644.8020   7200     0    60   
109645.7927   7442     0    61   
109646.7358   7688     0    62   
109647.6344   7938     0    63   
109648.4912   8192     0    64   
109649.3087   8450     0    65   
109650.0894   8712     0    66   
109650.8354   8978     0    67   
109651.5487   9248     0    68   
109652.2312   9522     0    69   
109652.8847   9800     0    70   
109653.5107   10082    0    71   
109654.1109   10368    0    72   
109654.6865   10658    0    73   
109655.2390   10952    0    74   
109655.7696   11250    0    75   
109656.2793   11552    0    76   
109656.7693   11858    0    77   
109657.2405   12168    0    78   
109657.6940   12482    0    79   
109658.1306   12800    0    80   
109658.5511   13122    0    81   
109658.9564   13448    0    82   
109659.3470   13778    0    83   
109659.7238   14112    0    84   
109660.0874   14450    0    85   
109660.4384   14792    0    86   
109660.7773   15138    0    87   
109661.1048   15488    0    88   
109661.4212   15842    0    89   
109661.7272   16200    0    90   
109662.0232   16562    0    91   
109662.3095   16928    0    92   
109662.5867   17298    0    93   
109662.8551   17672    0    94   
109663.1150   18050    0    95   
109663.3668   18432    0    96   
109663.6110   18818    0    97   
109663.8476   19208    0    98   
109664.0772   19602    0    99   
109664.2999   20000    0    100  
109677.6170   1        1    5    
